čáhppesrásttis	tjáhppisrástes
čáhppesvizar	tjáhppislávllo
čáihni	tjájnne
čálán	tjálan
čálihit	tjáledit, tjáledahttet
čállit sisa	låggit sisi
čáskadanbiila	jáddadimbijlla
čeaksa	tjeksa
čearret	tjierrek
čearrit	tjierrek
čiehkačievččasteapmi	tjiehkatjievtjastibme
čiehkaleavga	tjiehkaslávggá
čiekčanspábba	tjiektjamroahtto, tjiektjambállo
čiekčá	tjiekta
čierastat	tjerastahka
čierggesrásttis	bákterástes, diermmerástes
čievččastit spáppa	vuohtjet roahtov, tjievtjastit roahtov, vuohtjet bállov, tjievtjastit bállov
čievččastit	tjievtjastit
čiksa	riktja
čoađgi	tjoargge
čoaskudeapmi	galmmaskáhppa
čoavji	tjoajvve
čoavžu	ruoppsisjuolgtjoavtjoj
čogu	rájdam
čohkun	rájdam
čujuhit	tsaggat, tjaggat
čujuhuslinnjá	adræssalinnja, adræssasáhtso, adrässalinnja, adrässasáhtso
čukčá	goahppel
čuokkisčoahkku	girkesvuohta, tsahkkisvuohta
čuoldimat	vuojttogilbos, vuojttemgilbos, vuojttemgilpos, vuojttogilpos
čuonanskuolfi	tsihtsesjkunjok
čuonjá	vuovddegássa
čuonji	gássa
čuovga	lámmpo, tjuovgga
čurtebuvssat	truvsa
čurti	bahta
čuvla	vuolppo
dahkaluddat	dahkadallat
dallearka	dállik, tollærkka
darfegoahti	gábmá, lavnnjegoahte
darvi	darvve
davvebiegga	nuorttobiegga, nuortto
dábálaš gáccet	gadtsabidjá
dáhpa	dáhppudallam, vuojtádallam
dáhpehallat	masset
dáhpet	masset
dássedeaddu	jæbddadæddo, jäbddadäddo
deaddilastit	dieddelit
deaddilastit guktii	guokti dieddelit
deaggastoarbmaspálfu	áhpefálffo
dearbmebeskkoš	dermusj
dearbmerásttis	bákterástes, diermmerástes
dearvvašvuohta	varresvuohta
delfiidna	delfijnna
derpmoš	dermusj
dieđáhustávval	tábllo
diehppefiehta	diehppeviehtak
diehtojuohkintávval	tábllo
diehtotávval	tábllo
dieldá	tsagán
dielkoduvvá	duvvo
dieris	dieres
dihtorduolbbus	næhttatábllo, nähttatábllo, sláddimtábllo, sláddijiddje
dihtti	tsihtsehábak
diibmu	kloahkka
dioda	dijåvddå
dirrelihkáš	skillidahka
doapparlihtti	ruhtselihtte
dohkká	doahkko
dolgi	dålgge
dopmonjaman	dubmanjamán
dopmonoavki	dubmanjamán
dorski	jáddi
dovtta	davek, áhpetjuktje
duogŋat	duoggŋat
Duohtavuođa- ja soabahankommišuvdna	Duohtavuohta- ja såbadimkommisjåvnå
duokŋas	duogŋas
duopmár	duobmár
duoršu	stuorvuojatjis
duottarfálli	rievsakhábak
duottargarjá	ruŋŋka, gárránis, ruovdagis
duottarstohpu	várredåhpe
dustet	duosstot
eadni	ieddne
ealligovvateáhter	kino
eallinguoibmi	aktanårro
eanadatsuodjalanguovlu	árjudakduobda
eanansuodjalanguovlu	árjudakduobda
eanasuodjalanguovlu	árjudakduobda
eappel	ehpal
ebel	ehpal
e-boasta	e-poassta, e-påvsstå
el-culci	spihttokontákta, návllekontákta, tsáhkemkontákta
el-čuggestat	siejnnekontákta
elektrovnnalaš poasta	e-poassta, e-påvsstå
eretorrunáigi	ierijtvuohta, ieritvuohta
Eritrea	Eritredja
Etiopia	Etiåvppå
fabrihkka	fabrijkka, fabrihkka
faggi	vagge
fanas	vanntsa
fápmosirdin	fábmodålvudibme
fárgeheapmi	njálmostibme
fearrat	verrat
fidnooahppi	viddnooahppe
fielbmá	vielmes
fiellu	fiello
fierpmádat	værmádahka, värmmádahka
fierrut	fierrot
fierváčoavžžu	fiervvátjoavtjoj
fierváviroš	fiervvátjoavtjoj
fiila	fijlla
fiilu	fijllo
finála	finálla
firkkal	virkal
fiskat	visskat, visská
fiskesbeštor	visskásjvatjik
fiskesgaccebiehtár	buojddegattsak
fiskesgaccet	buojddegattsak
fiskesjievžžan	visskálávllo
fiskesvizar	visskálávllo
flamingot	flamiŋggot
friddjačievččasteapmi	buohttimtjievtjastibme, friddjatjievtjastibme
gaccebiehtár	gadtsabidjá
gaccepaš	gadtsabidjá
gaccet	gadtsabidjá
gahpervizar	tjáhppislávllo
gahpir	gahper
galbmaskábe	galmmaskáhppa
Gambia	Gámmba
garjá	vuoratjis
garramuitu	garraskierro
garraskearru	garraskierro
gaskarádjá	gasskogievlle
gaskarádjá	gasskolinnja
gaskkamuttu vuorru	båddå
gaskkas	gaskas
gavjanjaman	dubmanjamán
gazzareabbá	ráppes
gáddeviroš	skillidahka
gádjegaš	skávlle, skákle
gádjit	skávlle, skákle
gáfebánnu	káffagiebbme
gáfegievdni	káffagiebbme
gáffal	gáffil
gáhkkor	gurtte
gáhkku	gáhkko
gája	skávlle, skákle
gáldu	gálldo
gálggan	rájdam
gálvobiila	gálvvobijlla
gálvofanas	gálvvovanntsa
gáranas	ruŋŋka, gárránis, ruovdagis
gárggogoalsi	guorgojgoalsse
gárnagas	ruŋŋka, gárránis, ruovdagis
gárvodit	gárvodit
geađgerásttis	gierggerástes
geađgerišša	gierggeliejmme
geaksa	tjeksa
geardeviessu	viesso
geavahančilgehus	álkkes bagádusásj, åni bagádus, adnembagádusásj, bagádusásj, aktijbiedjambagádus
geavaheaddjinamma	addnenamma
geavla	træddjo
Georgia	Geårggå
gieddeleivvoš	gieddeurjjá
gieđasteapmi	giedastibme
giehtaanulaš	giehtadoajmme
giehta	giehta
giella	rikkas
gierdoduvvá	duvvo
gierdorásttis	bákterástes, diermmerástes
gievdni	skiello
gievkkan	gievkan
giiragássa	målsudahka
giirakássa	målsudahka
giira	målsun
giirastággu	målsun
giisá	gijssá
giitos eatnat	edna gijtto
gilot	jáddi
gilvobiila	gilposbijlla
gilvvagárdi	salljo
girdi	girdde
girdihámman	girddesalljo
girdihámman	girddesejvudahka
girdisáhpán	náhkkesoadje
girdišillju	girddesalljo
girdišillju	girddesejvudahka
girjelivkkár	girjaksnavkke
girji	girjje
girjoš	goahppel
gistu	gissto
gláse	vinndek
goahcančomaš	njoatsodahka
goahppil	goahppel
goahtemuorra	dägá, dægá
goaivunmašiidna	bállemmasjijnna
goallostit	sjåpkadit, sjåptjadit
goalšoruoššehas	ruohkoávllo
goalšovizar	ruohkoávllo
goarpa	ruŋŋka, gárránis, ruovdagis
goarrut	goarrot
goaskin	goasskem
gohččun	gåhttjom
gohppu	gåhppå
gollegahpir	låddegånågis, gållegahper
govva	gåvvå
govvaráidu	gåvvårájddo
gubbarastit	jållerdit, bullurdit, goabrrot
guhkká	giedjek
guikkut	guojkkagárek
Guinea	Guniddja
gumpegarjá	ruŋŋka, gárránis, ruovdagis
gumpegáranas	ruŋŋka, gárránis, ruovdagis
guoikgáhrit	guojkkagárek
guoikungárri	guojkkagárek
guollebáiski	skávlle, skákle
guollebivdi	guollebivdde
guollečearret	tjierrek
guolli	guolle
guorbmebiila	lásstabijlla
guorga	guorgga
guossagaccet	guossagattsak
guossa	guossa
guossavižár	guossalávllo
guovddáščiekči	gasskatjiektje
guovddášduostuheaddji	gasskatjiektje
guovddášgierdu	gasskogievlle
guovddášsáhcu	gasskolinnja
guovddášsárggis	gasskolinnja
guovssat	guovsak
guovža	biernna
gusagoalsi	gutsákgoalsse
gussagoalsi	gutsákgoalsse
gussa	gussa
guškel	stuorgussjká
guškil	gussjká, sjkussjki
guškil	stuorgussjká
guškkástat	gussjká, sjkussjki
guvgesruoksat	guovggisruoppsat
hahpat	liddno
haŋŋá	haŋŋá
háhka	háhka
háhkan	oasástallam, háhkuhibme
hálka	álkko
hárjehallan	hárjjidallam
hárjeheaddji	hárjjidalle
hávda	ávdda
hávdádeapmi	hávddádibme
hávdesadji	hávddesadje
hearvarássi	giedjek
heasta	hæssta, hässta
heasttafápmu	hässtafábmo, gäsánfábmo, hæsstafábmo, gæsánfábmo
heavvalastit	hivildit, hievvildit
heavval	hievvil, hivil
historjá	histårjjå, histåvrrå
hivssetbábir	hivsikpáhper
hivsset	hivsik
holga	mållahålggå
hurri	hurre
idjarásttis	rássjotsihtse
idjasoadjá	rássjotsihtse
iđidaččat	idetbåros, idedisbiebbmo
iđitbiebmu	idetbåros, idedisbiebbmo
iđitborramuš	idetbåros, idedisbiebbmo
India	Innda
Indonesia	Indonessa, Indoniessa
investeren	oasástallam, háhkuhibme
japánastoarbmaspálfu	Japanstoarmmofálffo
jáddadanbiila	jáddadimbijlla
jáhkka	jáhkka
jávresopmir	skávlle, skákle
jeaggefálli	jieggehábak
jeaggehahpat	jieggeloavkko
jeaggehávut	jieggehábak
jeaggeloatku	jieggeloavkko
jeaggemeahkástat	jieggemægástahka
jiekŋa	jiegŋa
jievjaskuolfi	guvggo
joatkkaoahppu	joarkkaåhpadus
jođihanfápmu	giessemfábmo, dåjmadimfábmo, jådedimfábmo, vuojedimfábmo
jođihanjuvla	giessemvierra, vuojedimvierra, dåjmadimvierra, jådedimvierra
jođihanreaibma	giessemrájppe, dåjmadimrájppe, vuojedimrájppe, jådedimrájppe
jođihanruopma	giessemrájppe, dåjmadimrájppe, vuojedimrájppe, jådedimrájppe
juoksa	juoksa
juolgeláhpi	juolggevuodo
juolgesuorbma	juolggetjuvdde
juolgi	juolgge
juovva	juovva
juvla	juvlla
kaleandar	rijmmo
Kambodja	Kambåddjå
káfebánnu	káffagiebbme
káfegievdni	káffagiebbme
keaksa	tjeksa
kievkkan	gievkan
klássa	klássa
klássa	vinndek
kontaktor	kontaktåvrrå, kontáktur
Kroatia	Kroáhtsa
kulturmuitosuodjaleapmi	kultuvrramujttosuodjalibme, kultuvrramujttosuoddjim
lageš	lagim
lastagaccet	råhtogattsak
Latvia	Lettlánnda, Láttva
lavdnjegoahti	gábmá, lavnnjegoahte
láđđi	ruvdda
láfol	láhul
láhkaásahus	biejadus
láhkán	láhkán
láhken	láhkán
láibi	stummpa
lákcajiekŋa	jiegŋa
lásefaskkon	vinndekrábun
láse	vinndek
lássabáddi	dabrrimbádde
lávdi	fiello
lávgungárri	lávggomgárre
lávlorásttis	rássjotsihtse
lávlorásttis	rástes, lávllorástes
lávvomuorra	dägá, dægá
leaibeloddi	liejbbelådde
leasttut	guobá
leivvoš	gieddeurjjá
lesba	læsbos, läsbos
Liberia	Liberra, Libierra
lidnu	liddno
lieđđi	giedjek
liehppá	sliehppá
Lietuva	Litávva
lihká	ávdda
lihkku beivviin	vuorbbe biejvijn
lihkku riegádanbeivviin	vuorbbe riegádimbiejvijn
lihppu	besalvis, billæhtta, biljähtta
liidnelláš	sjvatjik
liinelláš	sjvatjik
liktenbeavdi	sæjggombievdde
liktenruovdi	sæjggomruovdde
linjáduopmár	linnjaduobmár
liŋka	sváldas
loabáhat	trápsa
loabátgáma	trápsa
loađgu	jieggeloavkko
loavdda	låvda
loddegonagas	låddegånågis, gållegahper
loddejievži	rástes, lávllorástes
loddi	lådde
lohkkabáddi	dabrrimbádde
lohkki	låhkke
lohkuguolli	jáddi
luhkka	njálmmefáhta
lundda	lunnde
luoddagalba	luoddagalbba
luondduduohtadeapmi	luonndorievddadibme
luonddumeahcci	árjudakdajvva
luonddumuitu	luonndomujtto
luopmoruđat	loahpebálkká
luvven	tjoavdádallam
Malaysia	Malájssa
maŋosčievččasteapmi	ruoptotjievtjastibme
massit	masset
máinnus	ilmos
mánáidgárdi	mánájåroj
mánáš	mánásj
mánnáfuolaheapmi	mánájhukso
mánnáfuolahus	mánájhukso
meahkástat	mægástahka, almevierttsa
mearragoaskin	guollegoasskem
meašttir	mässtár, vuojtte
meašttirvuođagilvvut	gilbos, gilpos
miellespálfu	dermusj
miesttarásttis	biestarástásj
miesttarásttis	rássjotsihtse
miesttaskilki	biestarástásj
miesttavizar	biestalávllo
moallalinjá	mållalinnja
moalla	målla
moallastoalpu	mållastoalppa, mållatjuollda
mohkkasaddat	måhkudallat
mohkkasit	måhkudallat
mohtor	motåvrrå
mohtorsihkkel	motorsyhkal
mohtorsykkel	motorsyhkal
molssonkássa	målsudahka
molsson	målsun
molsut	målssot
monni	månne
muitosággi	vuorkkimságge
muoddá	muoddá
muolda	ednam
muoldu	ednam
muorracivkkán	muorraurjjá
muorra	muorra
muvra	muvrra
nállu	nállo
návet	fiekse
nieida	næjttso
niibi	nijbbe
niitocivkkán	urjjá
njalla	njalla
njálbmi	njálmme
njálgát	hálmuga
njálmmušteapmi	njálmostibme
njealjejuvllat (sihkkal)	nieljevierak, nieljejuvlak
njolá	fierosnjáman
njuikunbáddi	gahppambádde, tjællombádde
njukča	sjnjuktja
njunjálat	guorgojgoalsse
njunni	njunnje
njunuščiekči	njunjojtjiektje
njuolggan	el-njuolgan
njuolggogidden	boarkkim
njuolggolaktin	boarkkim
njuorju	nuorjjo
njurggu	njurgoj
noavki	dubmanjamán
Nordlánda	Nordlánnda
oaivi	oajvve
oapmedállu	båndorsijdda
oarri	oarre
ođasmahttit	ådåstuhttet
ođastit	ådåsisdahkat
Ođđa Selánda	Ådå Zealánnda, Aoteárra
ođđasit atnu	ådåsisadnem
ođđasit ráhkadit	ådåsisdahkat
olgguldasbuvssat	båvså
olgoráhppá	tráhppá
olgotráhppá	tráhppá
olju	oalljo
ovdamáksu	åvddåmákso
ovdaskuvla	åvddåskåvllå
ovdogohcci	åskeldisulmusj
ovdogoziheaddji	åskeldisulmusj
pandá	pánndá
queer	queer
racerbiila	gilposbijlla
ravdačiekči	rabddatjiektje
ravdarádjá	rabddalinnja
ravdarádji	rabddalinnja
rádio	radio
rádjat	rájov vaddet
ráhppa	tráhppá
ráhppá	tráhppá
ráidalas	stagán
ráidá	sállja
ráigat	rájggat
ráigeguoskkahat	siejnnekontákta
ránescihci	tjuorristsihtse
ránesgaccebiehtár	guossagattsak
ráneshávda	ávdda
ránesrásttis	stuorrástes, rástes
ráŋggáštusmearka	stráffamærkka, stráffasadje, stráffamärkka
rásáš	giedjek
rásttáš	gierggerástes
rásttis	stuorrástes, rástes
rátkkačiekčan	bessamtjiektjam
rávgoš	ruovggogånågis, fadik, tjehpurislådde
readdju	træddjo
reatká	gaskas
registrerejuvvon párragaskavuohta	registreriduvvam guojmmevuohta, tjáleduvvam guojmmevuohta
rekláma	ilmos
rele	relæddja, reläddja
replihkka	moalgedibme, replihkka, replijkka
replihkka	moalgedibme, replijkka, replihkka
riddospálfu	dermusj
rieban	riebij
rievssatcizáš	rievsaktsitsásj
rievssatfálli	rievsakhábak
riikkajoavku	rijkkajuogos
rikča	ribrri, skájtti
rimsu	rimsso
riššobeaitta	sjoavojberjas, navolberjas
riššu	navol
roahkki	álkko
rohtogaccet	råhtogattsak
rohtomeahkástat	vuovddemægástahka
ruksesguškil	ruoppsisgussjká
ruksesguškkástat	ruoppsisgussjká
ruksesjuolčoavžžu	ruoppsisjuolgtjoavtjoj
ruksesrieban	riebij
ruksessoadjá	rássjotsihtse
rullet	sláddit
ruŋka	ruŋŋka, gárránis, ruovdagis
ruŋku	ruŋŋka, gárránis, ruovdagis
ruohkki	álkko
ruoksat	ruoppsat
ruonábeibboš	ruodnábejbusj
ruonácizáš	ruodnáurbusj
ruonájuolčoavžžu	ruodnájuolgtjoavtjoj, tjoavtjoj
ruoná	ruodná, ruodnat
ruoššaállat	tjoavvetsihtse
ruoššagáranas	vuoratjis
ruovddagas	gierasj
ruovdecihci	ruovddetsitsásj
ruovdecizáš	ruovddetsitsásj
ruovttoluottačievččasteapmi	ruoptotjievtjastibme
ruskalihtti	ruhkelihtte
ruskalihtti	ruhtselihtte
sahá	sáhka
sajáiduhttit	sajájduhttet
sajálduhttit	sajájduhttet
