 agálaš __ A __  ihkálasj
 ahkit __ A __  ahket
 akademalaš __ A __  akademijjalasj
 akademihkalaš __ A __  akademijjalasj
 aktiiva __ A __  aktijvva
 aktiivvalaččat __ A __  aktijvalattjat
 alit __ A __  alek
 allajoccat __ A __  allabåskak
 allamielalaš __ A __  stuores
 allanálat __ A __  allamáttok
 allat __ A __  allak
 allat __ A __  aluk
 allaárvosaš __ A __  allaárvvusasj
 almmálaš __ A __  almmelasj
 analogalaš __ A __  analogijjalasj
 analyhtalaš __ A __  analijsalasj
 anihahtti __ A __  anedahtte
 arkeologalaš __ A __  arkeologijjalasj
 arktihkalaš __ A __  arktalasj
 arábalaš __ A __  arábak
 arábialaš __ A __  arábak
 asehaš __ A __  asidasj
 assái __ A __  assá
 bahča __ A __  tsibtsa
 bajit __ A __  bajep
 balddihahtti __ A __  baldedahtte
 bassi __ A __  ájlis
 beakkán __ A __  mihtos
 bealjeheapme __ A __  bieljedibme
 beallešattot __ A __  gasskasjattuk
 biográfalaš __ A __  biografijjalasj
 biologalaš __ A __  biologijjalasj
 bioteknologalaš __ A __  bioteknologijjalasj
 bissovaš __ A __  guhkálasj
 bistevaš __ A __  stuoves
 boahttevaš __ A __  boahttevasj
 boddosaš __ A __  båddåsasj
 borahahtti __ A __  bårådahtte
 buhtesváimmot __ A __  rájnnavájmuk
 buhtismeahttun __ A __  bádes
 buhtis __ A __  rájnas
 buotlágan __ A __  gájklágásj
 báhkas __ A __  báhkka
 ceavzilisvuohta __ A __  guoddelisvuohta
 ceavzil __ A __  guoddel
 coagis __ A __  tsoahke
 davviriikkalaš __ A __  nuorttarijkalasj
 dearvvasvuohta __ A __  varresvuohta
 dearvvašvuohta __ A __  varresvuohta
 dearvvaš __ A __  vieddje
 demográfalaš __ A __  demografijjalasj
 demokráhtalaš __ A __  demokratijjalasj
 didákttalaš __ A __  didaktihkalasj
 diehtemeahttunvuohta __ A __  diehtemahtesvuohta
 diehtointensiiva __ A __  diehtointensijva
 dievaslaš __ A __  dievalasj
 digitálalaš __ A __  digitálla
 digitála __ A __  digitálla
 dihtomielalašvuohta __ A __  diedulasjvuohta
 dihtomielalaš __ A __  diedulasj
 dihto __ A __  visses
 doaimmahat __ A __  dåjmadibme
 doallevaš __ A __  dågålasj
 dohkálaš __ A __  dågålasj
 dohkálaš __ A __  dåhkkidahtte
 dohkálaččat __ A __  dågålattjat
 dollaruoksat __ A __  dållåruoppsat
 dovddus __ A __  dåbdos
 dramáhtalaš __ A __  dramatihkalasj
 duolbbas __ A __  duolbas
 duppal __ A __  guovtegærddásasj
 duđavaš __ A __  dudálasj
 dynámalaš __ A __  dynámalasj
