 gos __ Adv __  gåsstå
 govt __ Adv __  gåktu
 guhkit __ Adv __  guhkebut
 guhká __ Adv __  guhkev
 guktii __ Adv __  guokti
 gulul __ Adv __  loajtoj
 guovdu __ Adv __  gassko
 hirbmadit __ Adv __  harmmat
 hirbmat __ Adv __  hármmat
 hirbmosit __ Adv __  harmmat
 hárve __ Adv __  vuorjját
 ihkku __ Adv __  iján
 ihttin __ Adv __  idet
 ikte __ Adv __  iektu
 illá __ Adv __  jurra
 issoras __ Adv __  sieldes
 iđedis __ Adv __  idedis
 iđđedis __ Adv __  idet
 iđđes __ Adv __  idet
 jallat __ Adv __  jallat
 jeavddalaččat __ Adv __  juovnnát
 jitnosit __ Adv __  jieddnát
 jna __ Adv __  jnv
 jnv __ Adv __  jná
 jo __ Adv __  juo
 jođáneappot __ Adv __  jåhtelappot
 jođánit __ Adv __  jåhtelit
 juste __ Adv __  jur
 jámma __ Adv __  aktelasj
 jávohaga __ Adv __  sjávot
 kánske __ Adv __  ihkap
 lagabui __ Adv __  lagábuj
 lagat __ Adv __  lagábut
 lahkalaga __ Adv __  lahkalakkoj
 lahkosis __ Adv __  lahkusin
 leabbut __ Adv __  luobbot
 liikká __ Adv __  ajtu
 loahpas __ Adv __  maŋutjissaj
 lullin __ Adv __  lullen
 lulábealde __ Adv __  oarjjelin
 láhkai __ Adv __  láhkáj
 láhkai __ Adv __  muoduk
 mahkáš __ Adv __  mak
 maiddá __ Adv __  aj
 masá __ Adv __  vargga
 maŋimustá __ Adv __  vijmak
 maŋŋelis __ Adv __  maŋŋela
 maŋŋel __ Adv __  maŋŋela
 maŋŋálagaid __ Adv __  maŋŋálakkoj
 maŋŋálaga __ Adv __  maŋŋálakkoj
 maŋŋá __ Adv __  maŋŋela
 meaddel __ Adv __  vásuk
 mealgat __ Adv __  riek
 measta __ Adv __  vargga
 meattá __ Adv __  mieddel
 menddo __ Adv __  ilá
 miehtá __ Adv __  miehtáj
 mielde __ Adv __  siegen
 mihá __ Adv __  viehka
 mot __ Adv __  gåktu
 muhtomin __ Adv __  muhttijn
 muhtumin __ Adv __  muhttijn
 muđuid __ Adv __  ietján
 máddin __ Adv __  lullen
 máttabealde __ Adv __  oarjjelin
 máttás __ Adv __  lulás
 nala __ Adv __  nali
 nalde __ Adv __  nanna
 nie __ Adv __  navti
 njozet __ Adv __  nuolet
 njuolgga __ Adv __  njuolgga
 no __ Adv __  nav
 nuo __ Adv __  navti
 nuvttá __ Adv __  nåvku
 nuvt __ Adv __  náv
 nu __ Adv __  nåv
 oainnat __ Adv __  vuojn
 oarjjabealde __ Adv __  alás
 oarjjás __ Adv __  alás
 oba __ Adv __  åbbå
 oktanaga __ Adv __  avtabuohta
 oktii __ Adv __  akti
 oktilaččat __ Adv __  aktelattjat
 okto __ Adv __  aktu
 olggobealde __ Adv __  ålggolin
 olggobeale __ Adv __  ålggolin
 ollislaččat __ Adv __  åbbålattjat
 olu __ Adv __  ednagit
 olámuttos __ Adv __  sadjihin
 on __ Adv __  vasten
 oppalaččat __ Adv __  åbbålattjat
 oppalohkái __ Adv __  åbbånagi
 oppa __ Adv __  åvvånis
 otne __ Adv __  uddni
 ovdagihtii __ Adv __  árabut
 ovdalaš __ Adv __  åvddåla
 ovdalaččas __ Adv __  åvdutjis
 ovdalis __ Adv __  åvddålis
 ovdal __ Adv __  åvddåla
 ovddabealde __ Adv __  åvddålin
 ovddalgihtii __ Adv __  árabut
 ovddal __ Adv __  vuosstáj
 ovddemus __ Adv __  vuostak
 ovddos __ Adv __  åvddåj
 ovttasráđiid __ Adv __  avtajrádij
 ovttas __ Adv __  aktan
 ovttatmano __ Adv __  dakkavide
 ođđasis __ Adv __  ådåsis
 rastá __ Adv __  rastá
 roahkka __ Adv __  jálot
 ruovttoluotta __ Adv __  ruopptot
 sakka __ Adv __  sieldes
 sakka __ Adv __  sælldásit
 seammás __ Adv __  avtabuohta
 seammá __ Adv __  sæmmi
 searválagaid __ Adv __  aktan
 searválaga __ Adv __  fáron
 seksuálalaččat __ Adv __  seksuálalattjat
 siskkabealde __ Adv __  sissŋelin
 siskkimusas __ Adv __  sissŋálattjat
 siskkobealde __ Adv __  sissŋelin
 siskkáldasat __ Adv __  sisŋelt
 siste __ Adv __  sissta
 suige __ Adv __  gåjt
 sullii __ Adv __  suláj
 suoli __ Adv __  suollet
 suollemasat __ Adv __  suolev
 uhccán __ Adv __  unnán
 unnimusat __ Adv __  unnemusát
 valjis __ Adv __  valjet
 valjit __ Adv __  valjet
 veahážiid __ Adv __  vehik
 vehá __ Adv __  vehi
 vehážiid __ Adv __  vehi
 velá __ Adv __  vil
 viimmat __ Adv __  vijmak
 vulos __ Adv __  vuolus
 vuohččan __ Adv __  vuostak
 vuollelis __ Adv __  vuollelis
 vuolábealde __ Adv __  vuollelin
 vuolás __ Adv __  vuolus
 vuosttažettiin __ Adv __  åvdemusát
 vuos __ Adv __  ájn
 vuot __ Adv __  vat
 várrugasat __ Adv __  várrogisát
 áigi __ Adv __  åvddåla
 áinnas __ Adv __  ávot
 álelassii __ Adv __  agev
 álfárot __ Adv __  ållu
 álggos __ Adv __  álgos
 álohii __ Adv __  agev
 álot __ Adv __  agev
 álo __ Adv __  agev
 álásin __ Adv __  rihttsot
 ándagassii __ Adv __  ándagis
 árabut __ Adv __  åvdebut
 čađat __ Adv __  aktelt
 čađa __ Adv __  tjadá
 mielde __ Adv __  maŋen
