 agálaččat __ Adv __  ihkeva
 agálaččat __ Adv __  ihkálattjat
 aiddo __ Adv __  jur
 aivvestassii __ Adv __  dåssjå
 aktanaga __ Adv __  avtabuohta
 aktiivvalaččat __ Adv __  aktijvalattjat
 akto __ Adv __  aktu
 alde __ Adv __  nanna
 almmá __ Adv __  almma
 arvat __ Adv __  valljet
 aŋkke __ Adv __  huoman
 badjelaš __ Adv __  badjelasj
 badjel __ Adv __  badjel
 bahábut __ Adv __  værábut
 baicca __ Adv __  farra
 baicce __ Adv __  farra
 bajiloaivvi __ Adv __  ålgolt
 bajil __ Adv __  ålgolt
 bajábealde __ Adv __  badjelin
 belohahkii __ Adv __  beludahkaj
 bieđgguid __ Adv __  hájoj
 boastut __ Adv __  boasstot
 buohkanassii __ Adv __  tjoahkkáj
 buoremusat __ Adv __  buoremusát
 báifáhkka __ Adv __  fáhkka
 bálddalagaid __ Adv __  buohtalakkoj
 báljo __ Adv __  vargga
 dakko __ Adv __  daggu
 dalle __ Adv __  dalloj
 dallánaga __ Adv __  dalága
 dalán __ Adv __  dalága
 danne __ Adv __  danen
 davil __ Adv __  nuorttal
 davviriikkalaččat __ Adv __  nuorttaguovlulattjat
 davábealde __ Adv __  nuorttalin
 davábealde __ Adv __  nuorttalis
 deike __ Adv __  diehki
 deikke __ Adv __  diehki
 diehke __ Adv __  diehki
 diehttalasat __ Adv __  diedon
 diehttalas __ Adv __  diedon
 diehttelasat __ Adv __  diedon
 diehttelas __ Adv __  diedon
 diekko __ Adv __  dasi
 dieđusge __ Adv __  diedon
 dohkálaččat __ Adv __  dågålattjat
 dovdomassii __ Adv __  viehka
 do __ Adv __  dåla
 duohko __ Adv __  duohku
 dákko __ Adv __  daggu
 dálvet __ Adv __  dálvvek
 dálvit __ Adv __  dálvvek
 dássážii __ Adv __  desik
 dás __ Adv __  dánna
 dávjá __ Adv __  dájvváj
 eahkes __ Adv __  iehkedis
 eambbo __ Adv __  ienebut
 eambbo __ Adv __  ienep
 eandalii __ Adv __  duodaj
 eanemusat __ Adv __  ienemusát
 eanemus __ Adv __  ienemusát
 eanáš __ Adv __  ienemusát
 earenomážit __ Adv __  sierraláhkáj
 easka __ Adv __  esski
 easkka __ Adv __  esski
 erenomážit __ Adv __  ájnnasit
 eret __ Adv __  ierit
 fal __ Adv __  val
 farga __ Adv __  ruvva
 farggamusat __ Adv __  ruvámusát
 fargga __ Adv __  ruvva
 formálalaččat __ Adv __  formalalattjat
 funet __ Adv __  hæjot
 fysalaččat __ Adv __  fysalattjat
 fáhkka __ Adv __  hæhkkat
 fáhkkestaga __ Adv __  hæhkkat
 fárrolagaid __ Adv __  aktan
 fárrolaga __ Adv __  aktan
 fárrolaga __ Adv __  maŋen
 fárus __ Adv __  sæhkáj
 gal __ Adv __  galla
 gaskal __ Adv __  gaskan
 gaskan __ Adv __  gaskan
 gaskka __ Adv __  gaskan
 geahppadit __ Adv __  gæhppadit
 goabbelis __ Adv __  goabbelis
 goasii __ Adv __  vargga
 goassege __ Adv __  goassak
 goasse __ Adv __  goassak
 goassige __ Adv __  goassak
 goas __ Adv __  goassa
 goitge __ Adv __  gåjt
 gokko __ Adv __  gåggu
 gosa __ Adv __  gåsik
