 accelereret __ V __  akselerierit
 accentueret __ V __  aksentuierit
 accepteret __ V __  akseptierit
 accompagneret __ V __  akkompagnierit
 acklimatiseret __ V __  akklimatisierit
 ackorderet __ V __  akkordierit
 ackumuleret __ V __  akkumulierit
 ackvireret __ V __  akkvirierit
 administreret __ V __  administrierit
 affixeret __ V __  affisierit
 ahcit __ V __  ahtset
 ahkiduššat __ V __  ahkedussjat
 ahtanuššat __ V __  åvddånit
 akšuneret __ V __  aksjonierit
 almmustahttit __ V __  almodit
 almmustuvvat __ V __  almoduvvat
 alterneret __ V __  alternierit
 alumineret __ V __  aluminierit
 amalgameret __ V __  amalgamierit
 ambuleret __ V __  ambulierit
 amerikaniseret __ V __  amerikanisierit
 amortiseret __ V __  amortisierit
 amputeret __ V __  amputierit
 analyseret __ V __  analysierit
 anašit __ V __  vellahit
 anesteseret __ V __  anestesierit
 anglifieret __ V __  anglifisierit
 anglifiseret __ V __  anglifisierit
 angliseret __ V __  anglisierit
 annekteret __ V __  annektierit
 annonseret __ V __  annonsierit
 annulleret __ V __  annullierit
 anteciperet __ V __  antesipierit
 appliceret __ V __  applisierit
 applåderet __ V __  applaudierit
 arrangeret __ V __  arrangierit
 arresteret __ V __  giddit
 arvit __ V __  harvvet
 associeret __ V __  assosiierit
 auktioneret __ V __  auksjonierit
 avaleret __ V __  avalierit
 avanseret __ V __  avansierit
 averteret __ V __  avertierit
 badjelgeahččat __ V __  badjelgæhttjat
 bagadallat __ V __  bagádallat
 bahkket __ V __  nårråt
 bahčit __ V __  båhtjet
 bajidit __ V __  bajedit
 bajásboktalit __ V __  bajásbåktålit
 bajásgeassit __ V __  bajedit
 bajásšaddadit __ V __  bajássjaddadit
 bajásšaddat __ V __  bajássjaddat
 bajásčuožžilit __ V __  bajástjuodtjelit
 balanseret __ V __  balansierit
 balanseret __ V __  stávttjurit
 balloteret __ V __  ballottierit
 bandageret __ V __  bandasjierit
 bandasjeret __ V __  bandasjierit
 bandašeret __ V __  bandasjierit
 barggahit __ V __  bargadit
 barrikaderet __ V __  barrikadierit
 basadit __ V __  basádit
 basastit __ V __  bassalit
 bastit __ V __  basstet
 batnit __ V __  bådnet
 beaivádit __ V __  biejvvit
 bealkkahallat __ V __  bælkkut
 bearráigeahččat __ V __  bærrájgæhttjat
 beastit __ V __  lånestit
 beavttálmahttit __ V __  gievrrodit
 beađđat __ V __  biedat
 besset __ V __  biessit
 bidjat __ V __  tjalmostit
 biehkut __ V __  luodjot
 biehttalit __ V __  vuornnot
 bievlat __ V __  bievllat
 bieđganit __ V __  bæjsstut
 biljetteret __ V __  billettierit
 billašuvvat __ V __  bæjsstanit
 billistit __ V __  biejsstet
 birget __ V __  bierggit
 birračuohppat __ V __  birratjuohpadit
 bissehit __ V __  ganugahttet
 bistit __ V __  vihpat
 bisuhit __ V __  bisodit
 bivackeret __ V __  bivuakkierit
 bivastuvvat __ V __  bivástuvvat
 blockeret __ V __  blokkierit
 blogget __ V __  bloaggit
 bláđet __ V __  sláddit
 boahkkut __ V __  boahkkot
 boahtit __ V __  sjaddat
 boarásmuvvat __ V __  boarásmuvvat
 boarásmuvvat __ V __  oabmot
 bogseret __ V __  bogserit
 botkalit __ V __  bårggålit
 bovdet __ V __  bivddit
 broscheret __ V __  brosjierit
 budjeteret __ V __  budsjettierit
 buhtásmuvvat __ V __  rájnnanit
 buohccát __ V __  skihppát
 buoidut __ V __  buojddot
 buokčat __ V __  buoktjat
 buollit __ V __  buollet
 buotnjut __ V __  buodnjot
 buođđut __ V __  buodot
 bággehallat __ V __  nággidallat
 bágget __ V __  bággit
 báhccat __ V __  báhttsat
 báhčit __ V __  vuohtjet
 báibmat __ V __  smállat
 báitit __ V __  bájttet
 bálgat __ V __  bálggat
 bálvalit __ V __  dievnnut
 bárgut __ V __  luodjot
 bávččagit __ V __  bávtjagit
 bázahallat __ V __  báhtsadallat
 cavgilit __ V __  tsuojggit
 ceavzit __ V __  messat
 cegget __ V __  tsieggit
 cementeret __ V __  sementierit
 censureret __ V __  sensurierit
 centraliseret __ V __  sentralisierit
 centreret __ V __  sentrierit
 centrifugeret __ V __  sentrifugierit
 changeret __ V __  changerit
 chevroteret __ V __  chevroterit
 chiffreret __ V __  chiffrerit
 cieggat __ V __  tsieggat
 cirkuleret __ V __  sirkulierit
 ciseleret __ V __  siselierit
 cissat __ V __  gådtjåt
 citeret __ V __  sitierit
 civiliseret __ V __  sivilisierit
 coahkkalit __ V __  dieddelit
 cábmit __ V __  tsibbmat
 darvánit __ V __  dæhppot
 dateret __ V __  datierit
 deaddilastit __ V __  dieddelit
 deaddilit __ V __  dieddelit
 deaddilit __ V __  prienntit
 deaivat __ V __  iejvvit
 dearvvahit __ V __  buorástahttet
 decentraliseret __ V __  desentralisierit
 decimeret __ V __  desimierit
 dediceret __ V __  dedisierit
 defineret __ V __  definierit
 demissioneret __ V __  demisjonierit
 demissioneret __ V __  demissionerit
 denationaliseret __ V __  denationaliserit
 deoxideret __ V __  deoxiderit
 desillutioneret __ V __  desillutionerit
 dieđihit __ V __  diededit
 differentieret __ V __  differentierit
 digaštallat __ V __  dágástallat
 diktit __ V __  dibddet
 dikšut __ V __  sujttit
 dimentioneret __ V __  dimentionerit
 dinet __ V __  tjijnnit
 dissocieret __ V __  dissocierit
 diŋgot __ V __  diŋŋgut
 doahput __ V __  doahpot
 doahttalit __ V __  duhtadit
 doaivvuhit __ V __  vájddet
 doalahit __ V __  bisodit
 doallat __ V __  adnalit
 doallat __ V __  adnet
 doallat __ V __  dållat
 doapmalit __ V __  gáhtjadit
 doapmat __ V __  gáhttjat
 doarrut __ V __  doarrot
 dohkkehit __ V __  dåhkkidit
 dohppet __ V __  duohppit
 dohppet __ V __  sluvgget
 dolkat __ V __  vájbbat
 dovddahit __ V __  dåbdåstit
 dovddastit __ V __  dåbdåstit
 dovdot __ V __  dåbddut
 dubbleret __ V __  dubblerit
 dubmet __ V __  duobbmit
 duddjot __ V __  duodjuhit
 duhkoraddat __ V __  ståhkat
 duhtat __ V __  duhtat
 dulkot __ V __  dålkkut
 duolbmat __ V __  duolmmit
 duoldat __ V __  duolldat
 duolvvidit __ V __  duolvvidit
 duostat __ V __  duosstat
 duppalastit __ V __  gærddodit
 durget __ V __  duorggit
 dustet __ V __  duosstot
 duššat __ V __  hevvanit
 dádjut __ V __  dádjot
 dáhkidit __ V __  buohttit
 dáhttut __ V __  máddet
 dáidit __ V __  máhttet
 dáistalit __ V __  doarrot
 dánset __ V __  dánssat
 dáruiduhttit __ V __  dárojduhttet
 dáruiduvvat __ V __  dárojduvvat
 dáruiduvvat __ V __  láddáduvvat
 dásáiduvvat __ V __  stuovijduvvat
 dávistit __ V __  vásstedit
 eaiggáduššat __ V __  æjggut
 ealáskahttit __ V __  ælládahttet
 earránit __ V __  sirádit
 earuhit __ V __  sieradit
 eastadit __ V __  hieredit
 eastat __ V __  vielldet
 easttadit __ V __  vielldet
 einnostit __ V __  tsoavttsot
 ekonomiseret __ V __  ekonomiserit
